0	32	0	0	0	0	0	0	0
0.00078125	32	1.90735e-08	-5.91278e-07	-0.00078125	-3.48737e-07	3.54027e-10	-3.48737e-07	3.54027e-10
0.0015625	32	7.62939e-08	-2.36512e-06	-0.0015625	-1.39495e-06	2.83658e-09	-1.39495e-06	2.83658e-09
0.00234375	32	1.71661e-07	-5.32152e-06	-0.00234374	-3.13862e-06	9.57617e-09	-3.13862e-06	9.57617e-09
0.003125	32	3.05175e-07	-9.46041e-06	-0.00312498	-5.57975e-06	2.27014e-08	-5.57975e-06	2.27014e-08
0.00390625	32	4.76835e-07	-1.47819e-05	-0.00390621	-8.71831e-06	4.43404e-08	-8.71831e-06	4.43404e-08
0.0046875	32	6.86641e-07	-2.1286e-05	-0.00468744	-1.25543e-05	7.66216e-08	-1.25543e-05	7.66216e-08
0.00546875	32	9.34592e-07	-2.89723e-05	-0.00546865	-1.70876e-05	1.21674e-07	-1.70876e-05	1.21674e-07
0.00625	32	1.22069e-06	-3.78413e-05	-0.00624985	-2.23184e-05	1.81625e-07	-2.23184e-05	1.81625e-07
0.00703125	32	1.54493e-06	-4.78928e-05	-0.00703103	-2.82464e-05	2.58604e-07	-2.82464e-05	2.58604e-07
0.0078125	32	1.90731e-06	-5.91268e-05	-0.0078122	-3.48717e-05	3.54738e-07	-3.48717e-05	3.54738e-07
0.00859375	32	2.30784e-06	-7.1543e-05	-0.00859335	-4.21943e-05	4.72156e-07	-4.21943e-05	4.72156e-07
0.00937499	32	2.74651e-06	-8.51419e-05	-0.00937448	-5.0214e-05	6.12986e-07	-5.0214e-05	6.12986e-07
0.0101562	32	3.22332e-06	-9.99234e-05	-0.0101556	-5.89309e-05	7.79358e-07	-5.89309e-05	7.79358e-07
0.0109375	32	3.73826e-06	-0.000115887	-0.0109367	-6.83448e-05	9.73396e-07	-6.83448e-05	9.73396e-07
0.0117187	32	4.29135e-06	-0.000133033	-0.0117177	-7.84558e-05	1.19723e-06	-7.84558e-05	1.19723e-06
0.0125	32	4.88257e-06	-0.000151361	-0.0124988	-8.92636e-05	1.45298e-06	-8.92636e-05	1.45298e-06
0.0132812	32	5.51193e-06	-0.000170872	-0.0132798	-0.000100768	1.74279e-06	-0.000100768	1.74279e-06
0.0140625	32	6.17943e-06	-0.000191564	-0.0140608	-0.00011297	2.06877e-06	-0.00011297	2.06877e-06
0.0148437	32	6.88505e-06	-0.000213437	-0.0148417	-0.000125868	2.43305e-06	-0.000125868	2.43305e-06
0.015625	32	7.62881e-06	-0.000236494	-0.0156226	-0.000139463	2.83777e-06	-0.000139463	2.83777e-06
0.0164062	32	8.4107e-06	-0.000260733	-0.0164035	-0.000153754	3.28505e-06	-0.000153754	3.28505e-06
0.0171875	32	9.23071e-06	-0.000286154	-0.0171843	-0.000168742	3.777e-06	-0.000168742	3.777e-06
0.0179687	32	1.00889e-05	-0.000312757	-0.0179651	-0.000184426	4.31578e-06	-0.000184426	4.31578e-06
0.01875	32	1.09851e-05	-0.000340542	-0.0187459	-0.000200806	4.90347e-06	-0.000200806	4.90347e-06
0.0195312	32	1.19195e-05	-0.000369507	-0.0195266	-0.000217882	5.54224e-06	-0.000217882	5.54224e-06
0.0203124	32	1.2892e-05	-0.000399654	-0.0203072	-0.000235655	6.23419e-06	-0.000235655	6.23419e-06
0.0210937	32	1.39026e-05	-0.000430986	-0.0210879	-0.000254123	6.98147e-06	-0.000254123	6.98147e-06
0.0218749	31	0.500025	-0.00078686	-0.0324744	-0.00068186	-0.0142022	-0.00068186	-0.0142022
0.0223796	31	0.500027	-0.000824054	-0.0340282	-0.000724678	-0.0147777	-0.000724678	-0.0147777
0.0228843	31	0.50003	-0.000863369	-0.0355819	-0.000769694	-0.0153531	-0.000769694	-0.0153531
0.023389	30	1.00004	-0.00124571	-0.0480192	-0.00128952	-0.0326958	-0.00128952	-0.0326958
0.0237541	30	1.00005	-0.0012876	-0.0502792	-0.00135026	-0.034003	-0.00135026	-0.034003
0.0241191	30	1.00005	-0.00133194	-0.0525393	-0.0014143	-0.0353101	-0.0014143	-0.0353101
0.0244841	30	1.00005	-0.00137873	-0.0547993	-0.00148164	-0.0366171	-0.00148164	-0.0366171
0.0248491	29.9999	1.00006	-0.00142797	-0.0570592	-0.00155229	-0.037924	-0.00155229	-0.037924
0.0252141	29.9999	1.00006	-0.00147966	-0.0593191	-0.00162625	-0.0392309	-0.00162625	-0.0392309
0.0255791	29.9999	1.00007	-0.0015338	-0.061579	-0.0017035	-0.0405376	-0.0017035	-0.0405376
0.0259442	29.9999	1.00007	-0.00159038	-0.0638388	-0.00178406	-0.0418442	-0.00178406	-0.0418442
0.0263092	29.9999	1.00008	-0.00164942	-0.0660986	-0.00186793	-0.0431508	-0.00186793	-0.0431508
0.0266742	29.9999	1.00008	-0.0017109	-0.0683582	-0.0019551	-0.0444571	-0.0019551	-0.0444571
0.0270392	28.9999	1.4841	-0.00221053	-0.0850587	-0.00270353	-0.0698362	-0.00270353	-0.0698362
0.0273246	27.9999	1.95185	-0.00268137	-0.100826	-0.00345669	-0.0956356	-0.00345669	-0.0956356
0.0275597	27.9999	1.95185	-0.00274113	-0.104352	-0.00356634	-0.0985988	-0.00356634	-0.0985988
0.0277947	27.9999	1.95186	-0.00280348	-0.107878	-0.00368065	-0.101562	-0.00368065	-0.101562
0.0280298	27.9998	1.95187	-0.00286844	-0.111404	-0.00379962	-0.104525	-0.00379962	-0.104525
0.0282648	26.9998	2.40697	-0.00334068	-0.127721	-0.00460336	-0.133064	-0.00460336	-0.133064
0.0284654	26.9998	2.40699	-0.00340535	-0.131827	-0.00473229	-0.136912	-0.00473229	-0.136912
0.028666	26.9998	2.407	-0.00347261	-0.135933	-0.00486634	-0.140761	-0.00486634	-0.140761
0.0288666	26.9998	2.40701	-0.00354248	-0.140039	-0.00500549	-0.144609	-0.00500549	-0.144609
0.0290672	26.9998	2.40703	-0.00361494	-0.144145	-0.00514976	-0.148457	-0.00514976	-0.148457
